track_id,spot_id,mask_id,fr,X,Y,area,mean,edge,p_death
2,29963,16,26,817,257,740.155,0.73929,False,0.97456
2,30482,17,37,791,257,526.422,1.00026,False,0.00799
2,30229,16,32,802,249,635.172,0.84791,False,0.00727
2,28822,12,8,829,269,994.324,0.57046,False,0.02990
2,30359,17,35,800,260,479.958,1.11318,False,0.02286
2,31002,23,47,798,258,393.560,1.31825,False,0.01490
2,29339,17,16,830,268,939.070,0.59195,False,0.00900
2,30107,16,29,811,253,659.534,0.82020,False,0.00600
2,30748,20,43,802,258,364.929,1.42567,False,0.02425
2,29215,14,12,830,270,935.302,0.59119,False,0.00839
2,30112,16,31,804,252,705.495,0.76921,False,0.01165
2,30884,21,46,803,260,393.812,1.32894,False,0.95650
2,31268,20,53,805,257,351.366,1.47411,False,0.01126
2,30503,18,38,795,257,476.693,1.12957,False,0.95908
2,30124,16,30,805,252,672.845,0.80336,False,0.97309
2,31278,23,52,803,258,349.608,1.47008,False,0.01732
2,29750,17,22,817,262,812.990,0.67766,False,0.97558
2,29368,14,15,830,269,943.842,0.59439,False,0.01330
2,28859,15,3,834,274,1039.030,0.50589,False,0.03386
2,30909,21,45,798,260,404.360,1.29749,False,0.01331
2,28867,15,5,834,275,1043.299,0.51958,False,0.06117
2,29768,15,20,820,264,805.957,0.68352,False,0.00556
2,31049,25,48,797,258,388.537,1.33339,False,0.01124
2,28876,14,1,838,277,957.404,0.55985,False,0.06544
2,29261,14,11,830,269,982.268,0.57317,False,0.01233
2,30669,17,41,800,259,391.802,1.33348,False,0.00937
2,30544,17,40,799,257,444.294,1.19944,False,0.01769
2,30290,15,34,799,254,560.076,0.96227,False,0.95061
2,30418,21,36,798,260,513.613,1.04627,False,0.02435
2,28885,15,7,832,270,1013.161,0.55434,False,0.03375
2,29910,13,25,819,259,733.122,0.73944,False,0.00606
2,30038,16,28,813,256,669.831,0.80865,False,0.00419
2,29911,18,27,812,257,703.486,0.78008,False,0.00745
2,30295,15,33,799,253,603.777,0.89449,False,0.00645
2,29277,15,14,831,269,939.070,0.59142,False,0.93556
2,29151,17,13,833,269,952.130,0.58144,False,0.05938
2,31201,22,50,800,258,352.371,1.46146,False,0.95298
2,29797,15,24,818,261,792.395,0.70201,False,0.00792
2,31077,23,49,798,256,372.463,1.37920,False,0.01702
2,29670,17,23,819,261,776.572,0.71258,False,0.01097
2,31337,24,54,803,256,344.083,1.49454,False,0.94862
2,30571,19,39,801,258,454.591,1.17137,False,0.01885
2,30829,22,44,801,258,395.067,1.32154,False,0.03407
2,29555,15,17,828,267,872.262,0.63262,False,0.01816
2,29557,14,18,825,268,831.073,0.66543,False,0.97319
2,28919,14,4,831,274,1104.330,0.50249,False,0.02734
2,29180,15,10,832,270,987.040,0.57442,False,0.93587
2,29438,15,9,834,270,1013.914,0.55923,False,0.05887
2,29566,14,19,824,265,803.195,0.68240,False,0.01059
2,29695,16,21,820,262,788.879,0.69346,False,0.00818
3,29312,34,12,889,834,1290.938,0.48498,False,0.00745
3,29057,33,7,891,832,1390.647,0.43647,False,0.01174
3,30851,44,44,884,838,1391.149,0.55878,False,0.01130
3,29060,36,6,890,834,1396.172,0.42848,False,0.86320
3,30729,41,41,883,843,1428.571,0.53571,False,0.18162
3,29837,37,22,886,839,1311.031,0.50790,False,0.88137
3,29838,36,20,885,836,1277.627,0.51494,False,0.00506
3,29839,36,21,886,838,1309.775,0.50599,False,0.10001
3,29075,33,4,892,837,1394.163,0.42658,False,0.00523
3,29971,40,27,887,844,1324.593,0.52575,False,0.00590
3,31380,44,54,875,830,1472.273,0.56406,False,0.78211
3,31126,45,48,879,832,1514.215,0.53754,False,0.00984
3,29976,33,25,889,842,1283.655,0.53171,False,0.11303
3,30361,37,33,886,846,1387.884,0.52632,False,0.15944
3,29468,34,15,888,834,1280.390,0.49893,False,0.01078
3,29216,36,13,891,833,1274.864,0.49584,False,0.08304
3,30625,40,40,885,843,1424.804,0.53144,False,0.01029
3,29603,35,19,886,836,1278.883,0.51349,False,0.00799
3,29476,36,16,887,833,1288.176,0.49914,False,0.00887
3,29737,37,23,887,840,1302.492,0.51797,False,0.00907
3,31146,41,49,874,824,1316.305,0.59587,False,0.18076
3,29870,36,24,887,842,1285.162,0.53061,False,0.00591
3,30256,40,32,888,843,1336.649,0.53775,False,0.00716
3,30642,42,39,887,843,1356.239,0.55516,False,0.01378
3,29496,36,9,891,831,1380.852,0.44646,False,0.09633
3,31161,41,51,876,822,1292.194,0.59942,False,0.01628
3,30010,37,26,889,844,1317.561,0.52255,False,0.86101
3,29627,34,17,887,834,1234.680,0.52474,False,0.08457
3,30780,41,42,884,841,1467.249,0.52957,False,0.80107
3,31038,41,47,881,834,1483.826,0.54276,False,0.01530
3,28991,31,8,887,831,1383.364,0.44322,False,0.00808
3,29379,34,11,888,832,1299.226,0.47815,False,0.01018
3,30406,39,35,885,847,1409.986,0.52428,False,0.01300
3,30791,43,43,882,839,1421.037,0.55007,False,0.01341
